RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1603236800562	 	3.0.2
USER	Positive: Fetch 10 pokemon characters and validate the schema	1	START	1603236800753	1603236800753
USER	Positive: Fetch 10 pokemon characters and validate the schema	2	START	1603236801434	1603236801434
USER	Positive: Fetch 10 pokemon characters and validate the schema	3	START	1603236801535	1603236801535
USER	Positive: Fetch 10 pokemon characters and validate the schema	4	START	1603236801634	1603236801634
USER	Positive: Fetch 10 pokemon characters and validate the schema	5	START	1603236801733	1603236801733
USER	Positive: Fetch 10 pokemon characters and validate the schema	6	START	1603236801835	1603236801835
USER	Positive: Fetch 10 pokemon characters and validate the schema	7	START	1603236801935	1603236801935
USER	Positive: Fetch 10 pokemon characters and validate the schema	8	START	1603236802034	1603236802034
USER	Positive: Fetch 10 pokemon characters and validate the schema	9	START	1603236802133	1603236802133
USER	Positive: Fetch 10 pokemon characters and validate the schema	10	START	1603236802234	1603236802234
USER	Positive: Fetch 10 pokemon characters and validate the schema	11	START	1603236802344	1603236802344
USER	Positive: Fetch 10 pokemon characters and validate the schema	12	START	1603236802445	1603236802445
REQUEST	2		GET /basic-auth/	1603236801928	1603236803237	OK	 
REQUEST	2		GET /api/v2/pokemon/	1603236803306	1603236804774	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	13	START	1603236804795	1603236804795
USER	Positive: Fetch 10 pokemon characters and validate the schema	14	START	1603236804798	1603236804798
USER	Positive: Fetch 10 pokemon characters and validate the schema	15	START	1603236804803	1603236804803
USER	Positive: Fetch 10 pokemon characters and validate the schema	16	START	1603236804806	1603236804806
USER	Positive: Fetch 10 pokemon characters and validate the schema	17	START	1603236804809	1603236804809
USER	Positive: Fetch 10 pokemon characters and validate the schema	18	START	1603236804815	1603236804815
USER	Positive: Fetch 10 pokemon characters and validate the schema	2	END	1603236801434	1603236804795
USER	Positive: Fetch 10 pokemon characters and validate the schema	22	START	1603236804820	1603236804820
USER	Positive: Fetch 10 pokemon characters and validate the schema	23	START	1603236804824	1603236804824
USER	Positive: Fetch 10 pokemon characters and validate the schema	24	START	1603236804830	1603236804830
USER	Positive: Fetch 10 pokemon characters and validate the schema	25	START	1603236804833	1603236804833
USER	Positive: Fetch 10 pokemon characters and validate the schema	26	START	1603236804837	1603236804837
USER	Positive: Fetch 10 pokemon characters and validate the schema	27	START	1603236804840	1603236804840
USER	Positive: Fetch 10 pokemon characters and validate the schema	28	START	1603236804843	1603236804843
USER	Positive: Fetch 10 pokemon characters and validate the schema	29	START	1603236804845	1603236804845
USER	Positive: Fetch 10 pokemon characters and validate the schema	30	START	1603236804847	1603236804847
USER	Positive: Fetch 10 pokemon characters and validate the schema	31	START	1603236804849	1603236804849
USER	Positive: Fetch 10 pokemon characters and validate the schema	32	START	1603236804852	1603236804852
USER	Positive: Fetch 10 pokemon characters and validate the schema	33	START	1603236804854	1603236804854
USER	Positive: Fetch 10 pokemon characters and validate the schema	34	START	1603236804857	1603236804857
USER	Positive: Fetch 10 pokemon characters and validate the schema	35	START	1603236804859	1603236804859
USER	Positive: Fetch 10 pokemon characters and validate the schema	36	START	1603236804862	1603236804862
USER	Positive: Fetch 10 pokemon characters and validate the schema	37	START	1603236804865	1603236804865
USER	Positive: Fetch 10 pokemon characters and validate the schema	38	START	1603236804883	1603236804883
USER	Positive: Fetch 10 pokemon characters and validate the schema	39	START	1603236804886	1603236804886
USER	Positive: Fetch 10 pokemon characters and validate the schema	40	START	1603236804888	1603236804888
USER	Positive: Fetch 10 pokemon characters and validate the schema	41	START	1603236804891	1603236804891
USER	Positive: Fetch 10 pokemon characters and validate the schema	19	START	1603236804894	1603236804894
USER	Positive: Fetch 10 pokemon characters and validate the schema	20	START	1603236804896	1603236804896
USER	Positive: Fetch 10 pokemon characters and validate the schema	21	START	1603236804898	1603236804898
REQUEST	3		GET /api/v2/pokemon/	1603236803341	1603236805056	OK	 
REQUEST	5		GET /api/v2/pokemon/	1603236803319	1603236805073	OK	 
REQUEST	11		GET /api/v2/pokemon/	1603236803324	1603236805081	OK	 
REQUEST	7		GET /api/v2/pokemon/	1603236803344	1603236805085	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	43	START	1603236805089	1603236805089
USER	Positive: Fetch 10 pokemon characters and validate the schema	42	START	1603236805087	1603236805087
REQUEST	9		GET /api/v2/pokemon/	1603236803343	1603236805128	OK	 
REQUEST	4		GET /api/v2/pokemon/	1603236803341	1603236805128	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	44	START	1603236805132	1603236805132
REQUEST	1		GET /api/v2/pokemon/	1603236803318	1603236805142	OK	 
REQUEST	12		GET /api/v2/pokemon/	1603236803331	1603236805163	OK	 
REQUEST	6		GET /api/v2/pokemon/	1603236803319	1603236805164	OK	 
REQUEST	13		GET /api/v2/pokemon/	1603236804923	1603236805465	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	45	START	1603236805472	1603236805472
USER	Positive: Fetch 10 pokemon characters and validate the schema	46	START	1603236805475	1603236805475
USER	Positive: Fetch 10 pokemon characters and validate the schema	47	START	1603236805477	1603236805477
REQUEST	10		GET /api/v2/pokemon/	1603236803327	1603236805556	OK	 
REQUEST	8		GET /api/v2/pokemon/	1603236803325	1603236805571	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	48	START	1603236805574	1603236805574
REQUEST	15		GET /api/v2/pokemon/	1603236805145	1603236805612	OK	 
REQUEST	43		GET /api/v2/pokemon/	1603236805155	1603236805613	OK	 
REQUEST	14		GET /api/v2/pokemon/	1603236805122	1603236805618	OK	 
REQUEST	42		GET /api/v2/pokemon/	1603236805206	1603236805656	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	49	START	1603236805660	1603236805660
REQUEST	18		GET /api/v2/pokemon/	1603236805211	1603236805663	OK	 
REQUEST	17		GET /api/v2/pokemon/	1603236805218	1603236805668	OK	 
REQUEST	22		GET /api/v2/pokemon/	1603236805216	1603236805714	OK	 
REQUEST	16		GET /api/v2/pokemon/	1603236805224	1603236805715	OK	 
REQUEST	44		GET /api/v2/pokemon/	1603236805219	1603236805715	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	50	START	1603236805727	1603236805727
REQUEST	23		GET /api/v2/pokemon/	1603236805499	1603236805950	OK	 
REQUEST	24		GET /api/v2/pokemon/	1603236805580	1603236806033	OK	 
REQUEST	48		GET /api/v2/pokemon/	1603236805634	1603236806105	OK	 
REQUEST	27		GET /api/v2/pokemon/	1603236805640	1603236806105	OK	 
REQUEST	25		GET /api/v2/pokemon/	1603236805615	1603236806105	OK	 
REQUEST	26		GET /api/v2/pokemon/	1603236805635	1603236806104	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	51	START	1603236806076	1603236806076
REQUEST	49		GET /api/v2/pokemon/	1603236805779	1603236806222	OK	 
REQUEST	31		GET /api/v2/pokemon/	1603236805781	1603236806226	OK	 
REQUEST	29		GET /api/v2/pokemon/	1603236805784	1603236806256	OK	 
REQUEST	50		GET /api/v2/pokemon/	1603236805796	1603236806256	OK	 
REQUEST	28		GET /api/v2/pokemon/	1603236805796	1603236806255	OK	 
REQUEST	30		GET /api/v2/pokemon/	1603236805797	1603236806256	OK	 
REQUEST	32		GET /api/v2/pokemon/	1603236805979	1603236806505	OK	 
REQUEST	33		GET /api/v2/pokemon/	1603236806123	1603236806607	OK	 
REQUEST	35		GET /api/v2/pokemon/	1603236806123	1603236806607	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	52	START	1603236806610	1603236806610
USER	Positive: Fetch 10 pokemon characters and validate the schema	53	START	1603236806612	1603236806612
USER	Positive: Fetch 10 pokemon characters and validate the schema	54	START	1603236806615	1603236806615
