RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1603236800562	 	3.0.2
USER	Positive: Fetch 10 pokemon characters and validate the schema	55	START	1603236806617	1603236806617
USER	Positive: Fetch 10 pokemon characters and validate the schema	56	START	1603236806619	1603236806619
USER	Positive: Fetch 10 pokemon characters and validate the schema	57	START	1603236806622	1603236806622
USER	Positive: Fetch 10 pokemon characters and validate the schema	58	START	1603236806624	1603236806624
USER	Positive: Fetch 10 pokemon characters and validate the schema	59	START	1603236806626	1603236806626
USER	Positive: Fetch 10 pokemon characters and validate the schema	3	END	1603236801535	1603236805060
USER	Positive: Fetch 10 pokemon characters and validate the schema	5	END	1603236801733	1603236805080
USER	Positive: Fetch 10 pokemon characters and validate the schema	11	END	1603236802344	1603236805086
USER	Positive: Fetch 10 pokemon characters and validate the schema	7	END	1603236801935	1603236805089
USER	Positive: Fetch 10 pokemon characters and validate the schema	9	END	1603236802133	1603236805132
USER	Positive: Fetch 10 pokemon characters and validate the schema	4	END	1603236801634	1603236805133
USER	Positive: Fetch 10 pokemon characters and validate the schema	1	END	1603236800753	1603236805146
USER	Positive: Fetch 10 pokemon characters and validate the schema	12	END	1603236802445	1603236805178
USER	Positive: Fetch 10 pokemon characters and validate the schema	6	END	1603236801835	1603236805186
USER	Positive: Fetch 10 pokemon characters and validate the schema	13	END	1603236804795	1603236805472
USER	Positive: Fetch 10 pokemon characters and validate the schema	10	END	1603236802234	1603236805562
USER	Positive: Fetch 10 pokemon characters and validate the schema	8	END	1603236802034	1603236805574
USER	Positive: Fetch 10 pokemon characters and validate the schema	15	END	1603236804803	1603236805615
USER	Positive: Fetch 10 pokemon characters and validate the schema	43	END	1603236805089	1603236805616
USER	Positive: Fetch 10 pokemon characters and validate the schema	14	END	1603236804798	1603236805623
USER	Positive: Fetch 10 pokemon characters and validate the schema	42	END	1603236805087	1603236805660
USER	Positive: Fetch 10 pokemon characters and validate the schema	18	END	1603236804815	1603236805667
USER	Positive: Fetch 10 pokemon characters and validate the schema	17	END	1603236804809	1603236805717
REQUEST	34		GET /api/v2/pokemon/	1603236806208	1603236806649	OK	 
REQUEST	36		GET /api/v2/pokemon/	1603236806123	1603236806665	OK	 
REQUEST	38		GET /api/v2/pokemon/	1603236806249	1603236806699	OK	 
REQUEST	37		GET /api/v2/pokemon/	1603236806250	1603236806702	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	60	START	1603236806702	1603236806702
REQUEST	51		GET /api/v2/pokemon/	1603236806251	1603236806703	OK	 
REQUEST	40		GET /api/v2/pokemon/	1603236806318	1603236806759	OK	 
REQUEST	19		GET /api/v2/pokemon/	1603236806318	1603236806765	OK	 
REQUEST	39		GET /api/v2/pokemon/	1603236806318	1603236806770	OK	 
REQUEST	41		GET /api/v2/pokemon/	1603236806317	1603236806773	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	61	START	1603236806776	1603236806776
REQUEST	20		GET /api/v2/pokemon/	1603236806552	1603236807034	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	62	START	1603236807038	1603236807038
USER	Positive: Fetch 10 pokemon characters and validate the schema	63	START	1603236807041	1603236807041
REQUEST	21		GET /api/v2/pokemon/	1603236806627	1603236807074	OK	 
REQUEST	46		GET /api/v2/pokemon/	1603236806682	1603236807156	OK	 
REQUEST	47		GET /api/v2/pokemon/	1603236806683	1603236807160	OK	 
REQUEST	45		GET /api/v2/pokemon/	1603236806647	1603236807159	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	22	END	1603236804820	1603236805719
USER	Positive: Fetch 10 pokemon characters and validate the schema	16	END	1603236804806	1603236805722
USER	Positive: Fetch 10 pokemon characters and validate the schema	44	END	1603236805132	1603236805726
USER	Positive: Fetch 10 pokemon characters and validate the schema	23	END	1603236804824	1603236805955
USER	Positive: Fetch 10 pokemon characters and validate the schema	24	END	1603236804830	1603236806038
USER	Positive: Fetch 10 pokemon characters and validate the schema	48	END	1603236805574	1603236806108
USER	Positive: Fetch 10 pokemon characters and validate the schema	27	END	1603236804840	1603236806108
USER	Positive: Fetch 10 pokemon characters and validate the schema	25	END	1603236804833	1603236806108
USER	Positive: Fetch 10 pokemon characters and validate the schema	26	END	1603236804837	1603236806108
USER	Positive: Fetch 10 pokemon characters and validate the schema	49	END	1603236805660	1603236806224
USER	Positive: Fetch 10 pokemon characters and validate the schema	31	END	1603236804849	1603236806230
USER	Positive: Fetch 10 pokemon characters and validate the schema	29	END	1603236804845	1603236806260
USER	Positive: Fetch 10 pokemon characters and validate the schema	50	END	1603236805727	1603236806260
USER	Positive: Fetch 10 pokemon characters and validate the schema	28	END	1603236804843	1603236806260
USER	Positive: Fetch 10 pokemon characters and validate the schema	30	END	1603236804847	1603236806260
USER	Positive: Fetch 10 pokemon characters and validate the schema	32	END	1603236804852	1603236806529
USER	Positive: Fetch 10 pokemon characters and validate the schema	33	END	1603236804854	1603236806610
USER	Positive: Fetch 10 pokemon characters and validate the schema	35	END	1603236804859	1603236806610
USER	Positive: Fetch 10 pokemon characters and validate the schema	34	END	1603236804857	1603236806666
USER	Positive: Fetch 10 pokemon characters and validate the schema	64	START	1603236807165	1603236807165
REQUEST	52		GET /api/v2/pokemon/	1603236806759	1603236807200	OK	 
REQUEST	54		GET /api/v2/pokemon/	1603236806760	1603236807205	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	36	END	1603236804862	1603236806667
USER	Positive: Fetch 10 pokemon characters and validate the schema	65	START	1603236807205	1603236807205
USER	Positive: Fetch 10 pokemon characters and validate the schema	38	END	1603236804883	1603236806702
USER	Positive: Fetch 10 pokemon characters and validate the schema	37	END	1603236804865	1603236806706
USER	Positive: Fetch 10 pokemon characters and validate the schema	51	END	1603236806076	1603236806707
USER	Positive: Fetch 10 pokemon characters and validate the schema	40	END	1603236804888	1603236806762
USER	Positive: Fetch 10 pokemon characters and validate the schema	19	END	1603236804894	1603236806769
USER	Positive: Fetch 10 pokemon characters and validate the schema	39	END	1603236804886	1603236806774
USER	Positive: Fetch 10 pokemon characters and validate the schema	41	END	1603236804891	1603236806776
USER	Positive: Fetch 10 pokemon characters and validate the schema	20	END	1603236804896	1603236807038
USER	Positive: Fetch 10 pokemon characters and validate the schema	21	END	1603236804898	1603236807077
USER	Positive: Fetch 10 pokemon characters and validate the schema	46	END	1603236805475	1603236807160
USER	Positive: Fetch 10 pokemon characters and validate the schema	47	END	1603236805477	1603236807162
USER	Positive: Fetch 10 pokemon characters and validate the schema	45	END	1603236805472	1603236807162
USER	Positive: Fetch 10 pokemon characters and validate the schema	52	END	1603236806610	1603236807204
USER	Positive: Fetch 10 pokemon characters and validate the schema	54	END	1603236806615	1603236807218
REQUEST	55		GET /api/v2/pokemon/	1603236806857	1603236807301	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	55	END	1603236806617	1603236807305
USER	Positive: Fetch 10 pokemon characters and validate the schema	66	START	1603236807308	1603236807308
REQUEST	56		GET /api/v2/pokemon/	1603236806865	1603236807316	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	56	END	1603236806619	1603236807321
REQUEST	58		GET /api/v2/pokemon/	1603236806871	1603236807319	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	58	END	1603236806624	1603236807324
REQUEST	57		GET /api/v2/pokemon/	1603236806867	1603236807321	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	57	END	1603236806622	1603236807328
REQUEST	53		GET /api/v2/pokemon/	1603236806864	1603236807322	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	53	END	1603236806612	1603236807329
USER	Positive: Fetch 10 pokemon characters and validate the schema	67	START	1603236807373	1603236807373
USER	Positive: Fetch 10 pokemon characters and validate the schema	68	START	1603236807474	1603236807474
REQUEST	62		GET /api/v2/pokemon/	1603236807063	1603236807522	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	62	END	1603236807038	1603236807525
REQUEST	63		GET /api/v2/pokemon/	1603236807124	1603236807568	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	63	END	1603236807041	1603236807572
USER	Positive: Fetch 10 pokemon characters and validate the schema	69	START	1603236807574	1603236807574
REQUEST	59		GET /api/v2/pokemon/	1603236807182	1603236807624	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	59	END	1603236806626	1603236807627
REQUEST	60		GET /api/v2/pokemon/	1603236807184	1603236807640	OK	 
REQUEST	61		GET /api/v2/pokemon/	1603236807189	1603236807640	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	60	END	1603236806702	1603236807644
USER	Positive: Fetch 10 pokemon characters and validate the schema	61	END	1603236806776	1603236807644
USER	Positive: Fetch 10 pokemon characters and validate the schema	70	START	1603236807643	1603236807643
REQUEST	64		GET /api/v2/pokemon/	1603236807236	1603236807733	OK	 
REQUEST	65		GET /api/v2/pokemon/	1603236807234	1603236807734	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	64	END	1603236807165	1603236807739
USER	Positive: Fetch 10 pokemon characters and validate the schema	65	END	1603236807205	1603236807739
USER	Positive: Fetch 10 pokemon characters and validate the schema	71	START	1603236807742	1603236807742
USER	Positive: Fetch 10 pokemon characters and validate the schema	72	START	1603236807846	1603236807846
REQUEST	67		GET /api/v2/pokemon/	1603236807430	1603236807889	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	67	END	1603236807373	1603236807893
REQUEST	66		GET /api/v2/pokemon/	1603236807351	1603236807894	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	66	END	1603236807308	1603236807896
REQUEST	68		GET /api/v2/pokemon/	1603236807494	1603236807939	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	68	END	1603236807474	1603236807942
USER	Positive: Fetch 10 pokemon characters and validate the schema	73	START	1603236807945	1603236807945
USER	Positive: Fetch 10 pokemon characters and validate the schema	74	START	1603236808043	1603236808043
REQUEST	69		GET /api/v2/pokemon/	1603236807602	1603236808050	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	69	END	1603236807574	1603236808054
USER	Positive: Fetch 10 pokemon characters and validate the schema	75	START	1603236808144	1603236808144
REQUEST	70		GET /api/v2/pokemon/	1603236807752	1603236808206	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	70	END	1603236807643	1603236808210
REQUEST	71		GET /api/v2/pokemon/	1603236807778	1603236808223	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	71	END	1603236807742	1603236808225
USER	Positive: Fetch 10 pokemon characters and validate the schema	76	START	1603236808253	1603236808253
REQUEST	72		GET /api/v2/pokemon/	1603236807866	1603236808307	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	72	END	1603236807846	1603236808310
USER	Positive: Fetch 10 pokemon characters and validate the schema	77	START	1603236808355	1603236808355
REQUEST	73		GET /api/v2/pokemon/	1603236807992	1603236808432	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	73	END	1603236807945	1603236808434
USER	Positive: Fetch 10 pokemon characters and validate the schema	78	START	1603236808453	1603236808453
REQUEST	74		GET /api/v2/pokemon/	1603236808070	1603236808512	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	74	END	1603236808043	1603236808515
USER	Positive: Fetch 10 pokemon characters and validate the schema	79	START	1603236808554	1603236808554
REQUEST	75		GET /api/v2/pokemon/	1603236808161	1603236808607	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	75	END	1603236808144	1603236808615
USER	Positive: Fetch 10 pokemon characters and validate the schema	80	START	1603236808654	1603236808654
REQUEST	76		GET /api/v2/pokemon/	1603236808288	1603236808730	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	76	END	1603236808253	1603236808732
USER	Positive: Fetch 10 pokemon characters and validate the schema	81	START	1603236808754	1603236808754
REQUEST	77		GET /api/v2/pokemon/	1603236808370	1603236808815	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	77	END	1603236808355	1603236808816
USER	Positive: Fetch 10 pokemon characters and validate the schema	82	START	1603236808855	1603236808855
REQUEST	78		GET /api/v2/pokemon/	1603236808475	1603236808917	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	78	END	1603236808453	1603236808920
USER	Positive: Fetch 10 pokemon characters and validate the schema	83	START	1603236808955	1603236808955
REQUEST	79		GET /api/v2/pokemon/	1603236808574	1603236809020	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	79	END	1603236808554	1603236809022
USER	Positive: Fetch 10 pokemon characters and validate the schema	84	START	1603236809054	1603236809054
REQUEST	80		GET /api/v2/pokemon/	1603236808677	1603236809123	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	80	END	1603236808654	1603236809127
USER	Positive: Fetch 10 pokemon characters and validate the schema	85	START	1603236809153	1603236809153
REQUEST	81		GET /api/v2/pokemon/	1603236808773	1603236809239	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	81	END	1603236808754	1603236809242
USER	Positive: Fetch 10 pokemon characters and validate the schema	86	START	1603236809253	1603236809253
REQUEST	82		GET /api/v2/pokemon/	1603236808869	1603236809322	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	82	END	1603236808855	1603236809323
USER	Positive: Fetch 10 pokemon characters and validate the schema	87	START	1603236809355	1603236809355
REQUEST	83		GET /api/v2/pokemon/	1603236808974	1603236809421	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	83	END	1603236808955	1603236809423
USER	Positive: Fetch 10 pokemon characters and validate the schema	88	START	1603236809455	1603236809455
REQUEST	84		GET /api/v2/pokemon/	1603236809068	1603236809535	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	84	END	1603236809054	1603236809538
USER	Positive: Fetch 10 pokemon characters and validate the schema	89	START	1603236809553	1603236809553
REQUEST	85		GET /api/v2/pokemon/	1603236809176	1603236809636	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	85	END	1603236809153	1603236809655
USER	Positive: Fetch 10 pokemon characters and validate the schema	90	START	1603236809653	1603236809653
REQUEST	86		GET /api/v2/pokemon/	1603236809267	1603236809715	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	86	END	1603236809253	1603236809717
USER	Positive: Fetch 10 pokemon characters and validate the schema	91	START	1603236809753	1603236809753
REQUEST	87		GET /api/v2/pokemon/	1603236809374	1603236809842	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	87	END	1603236809355	1603236809848
USER	Positive: Fetch 10 pokemon characters and validate the schema	92	START	1603236809855	1603236809855
REQUEST	88		GET /api/v2/pokemon/	1603236809464	1603236809940	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	88	END	1603236809455	1603236809944
USER	Positive: Fetch 10 pokemon characters and validate the schema	93	START	1603236809954	1603236809954
REQUEST	89		GET /api/v2/pokemon/	1603236809566	1603236810027	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	89	END	1603236809553	1603236810030
USER	Positive: Fetch 10 pokemon characters and validate the schema	94	START	1603236810053	1603236810053
REQUEST	90		GET /api/v2/pokemon/	1603236809676	1603236810119	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	90	END	1603236809653	1603236810121
USER	Positive: Fetch 10 pokemon characters and validate the schema	95	START	1603236810154	1603236810154
REQUEST	91		GET /api/v2/pokemon/	1603236809768	1603236810207	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	91	END	1603236809753	1603236810210
USER	Positive: Fetch 10 pokemon characters and validate the schema	96	START	1603236810255	1603236810255
REQUEST	92		GET /api/v2/pokemon/	1603236809869	1603236810318	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	92	END	1603236809855	1603236810321
USER	Positive: Fetch 10 pokemon characters and validate the schema	97	START	1603236810354	1603236810354
REQUEST	93		GET /api/v2/pokemon/	1603236809966	1603236810420	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	93	END	1603236809954	1603236810423
USER	Positive: Fetch 10 pokemon characters and validate the schema	98	START	1603236810454	1603236810454
REQUEST	94		GET /api/v2/pokemon/	1603236810074	1603236810522	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	94	END	1603236810053	1603236810523
USER	Positive: Fetch 10 pokemon characters and validate the schema	99	START	1603236810555	1603236810555
REQUEST	95		GET /api/v2/pokemon/	1603236810172	1603236810618	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	95	END	1603236810154	1603236810620
USER	Positive: Fetch 10 pokemon characters and validate the schema	100	START	1603236810655	1603236810655
REQUEST	96		GET /api/v2/pokemon/	1603236810270	1603236810717	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	96	END	1603236810255	1603236810720
USER	Positive: Fetch 10 pokemon characters and validate the schema	101	START	1603236810752	1603236810752
REQUEST	97		GET /api/v2/pokemon/	1603236810370	1603236810815	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	97	END	1603236810354	1603236810817
USER	Positive: Fetch 10 pokemon characters and validate the schema	102	START	1603236810854	1603236810854
REQUEST	98		GET /api/v2/pokemon/	1603236810463	1603236810918	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	98	END	1603236810454	1603236810921
USER	Positive: Fetch 10 pokemon characters and validate the schema	103	START	1603236810955	1603236810955
REQUEST	99		GET /api/v2/pokemon/	1603236810569	1603236811009	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	99	END	1603236810555	1603236811013
USER	Positive: Fetch 10 pokemon characters and validate the schema	104	START	1603236811055	1603236811055
REQUEST	100		GET /api/v2/pokemon/	1603236810670	1603236811112	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	100	END	1603236810655	1603236811115
USER	Positive: Fetch 10 pokemon characters and validate the schema	105	START	1603236811153	1603236811153
REQUEST	101		GET /api/v2/pokemon/	1603236810769	1603236811213	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	101	END	1603236810752	1603236811216
USER	Positive: Fetch 10 pokemon characters and validate the schema	106	START	1603236811255	1603236811255
REQUEST	102		GET /api/v2/pokemon/	1603236810868	1603236811312	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	102	END	1603236810854	1603236811314
USER	Positive: Fetch 10 pokemon characters and validate the schema	107	START	1603236811355	1603236811355
REQUEST	103		GET /api/v2/pokemon/	1603236810972	1603236811420	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	103	END	1603236810955	1603236811423
USER	Positive: Fetch 10 pokemon characters and validate the schema	108	START	1603236811453	1603236811453
REQUEST	104		GET /api/v2/pokemon/	1603236811077	1603236811523	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	104	END	1603236811055	1603236811527
USER	Positive: Fetch 10 pokemon characters and validate the schema	109	START	1603236811554	1603236811554
REQUEST	105		GET /api/v2/pokemon/	1603236811165	1603236811613	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	105	END	1603236811153	1603236811617
USER	Positive: Fetch 10 pokemon characters and validate the schema	110	START	1603236811653	1603236811653
REQUEST	106		GET /api/v2/pokemon/	1603236811271	1603236811715	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	106	END	1603236811255	1603236811717
USER	Positive: Fetch 10 pokemon characters and validate the schema	111	START	1603236811755	1603236811755
REQUEST	107		GET /api/v2/pokemon/	1603236811364	1603236811801	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	107	END	1603236811355	1603236811803
USER	Positive: Fetch 10 pokemon characters and validate the schema	112	START	1603236811854	1603236811854
REQUEST	108		GET /api/v2/pokemon/	1603236811474	1603236811914	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	108	END	1603236811453	1603236811915
USER	Positive: Fetch 10 pokemon characters and validate the schema	113	START	1603236811954	1603236811954
REQUEST	109		GET /api/v2/pokemon/	1603236811567	1603236812007	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	109	END	1603236811554	1603236812008
USER	Positive: Fetch 10 pokemon characters and validate the schema	114	START	1603236812055	1603236812055
