RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1604625681696	 	3.0.2
REQUEST	25		GET /api/v2/pokemon/	1604625686369	1604625686468	OK	 
REQUEST	27		GET /api/v2/pokemon/	1604625686369	1604625686471	OK	 
REQUEST	1		GET /api/v2/pokemon/	1604625684670	1604625686488	OK	 
REQUEST	6		GET /api/v2/pokemon/	1604625684672	1604625686490	OK	 
REQUEST	2		GET /api/v2/pokemon/	1604625684650	1604625686495	OK	 
REQUEST	28		GET /api/v2/pokemon/	1604625686380	1604625686523	OK	 
REQUEST	12		GET /api/v2/pokemon/	1604625684667	1604625686495	OK	 
REQUEST	29		GET /api/v2/pokemon/	1604625686378	1604625686525	OK	 
REQUEST	30		GET /api/v2/pokemon/	1604625686383	1604625686579	OK	 
REQUEST	31		GET /api/v2/pokemon/	1604625686418	1604625686591	OK	 
REQUEST	33		GET /api/v2/pokemon/	1604625686522	1604625686678	OK	 
REQUEST	34		GET /api/v2/pokemon/	1604625686527	1604625686679	OK	 
REQUEST	19		GET /api/v2/pokemon/	1604625686543	1604625686682	OK	 
REQUEST	32		GET /api/v2/pokemon/	1604625686477	1604625686683	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	43	START	1604625686684	1604625686684
USER	Positive: Fetch 10 pokemon characters and validate the schema	44	START	1604625686685	1604625686685
REQUEST	35		GET /api/v2/pokemon/	1604625686533	1604625686686	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	45	START	1604625686686	1604625686686
USER	Positive: Fetch 10 pokemon characters and validate the schema	46	START	1604625686687	1604625686687
USER	Positive: Fetch 10 pokemon characters and validate the schema	47	START	1604625686689	1604625686689
REQUEST	39		GET /api/v2/pokemon/	1604625686583	1604625686718	OK	 
REQUEST	38		GET /api/v2/pokemon/	1604625686601	1604625686718	OK	 
REQUEST	20		GET /api/v2/pokemon/	1604625686596	1604625686720	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	18	END	1604625686055	1604625686303
USER	Positive: Fetch 10 pokemon characters and validate the schema	24	END	1604625686044	1604625686397
USER	Positive: Fetch 10 pokemon characters and validate the schema	15	END	1604625686008	1604625686430
USER	Positive: Fetch 10 pokemon characters and validate the schema	26	END	1604625686121	1604625686467
USER	Positive: Fetch 10 pokemon characters and validate the schema	25	END	1604625686118	1604625686470
USER	Positive: Fetch 10 pokemon characters and validate the schema	27	END	1604625686124	1604625686472
USER	Positive: Fetch 10 pokemon characters and validate the schema	1	END	1604625681884	1604625686492
USER	Positive: Fetch 10 pokemon characters and validate the schema	6	END	1604625683188	1604625686493
USER	Positive: Fetch 10 pokemon characters and validate the schema	2	END	1604625682787	1604625686519
USER	Positive: Fetch 10 pokemon characters and validate the schema	28	END	1604625686126	1604625686525
REQUEST	36		GET /api/v2/pokemon/	1604625686585	1604625686729	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	12	END	1604625683799	1604625686526
USER	Positive: Fetch 10 pokemon characters and validate the schema	29	END	1604625686129	1604625686528
USER	Positive: Fetch 10 pokemon characters and validate the schema	30	END	1604625686132	1604625686582
USER	Positive: Fetch 10 pokemon characters and validate the schema	31	END	1604625686134	1604625686593
USER	Positive: Fetch 10 pokemon characters and validate the schema	33	END	1604625686149	1604625686681
USER	Positive: Fetch 10 pokemon characters and validate the schema	34	END	1604625686173	1604625686681
USER	Positive: Fetch 10 pokemon characters and validate the schema	19	END	1604625686058	1604625686684
USER	Positive: Fetch 10 pokemon characters and validate the schema	32	END	1604625686141	1604625686685
USER	Positive: Fetch 10 pokemon characters and validate the schema	35	END	1604625686176	1604625686688
USER	Positive: Fetch 10 pokemon characters and validate the schema	39	END	1604625686188	1604625686720
USER	Positive: Fetch 10 pokemon characters and validate the schema	38	END	1604625686185	1604625686720
USER	Positive: Fetch 10 pokemon characters and validate the schema	20	END	1604625686060	1604625686721
USER	Positive: Fetch 10 pokemon characters and validate the schema	36	END	1604625686179	1604625686730
REQUEST	40		GET /api/v2/pokemon/	1604625686607	1604625686732	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	40	END	1604625686190	1604625686738
REQUEST	37		GET /api/v2/pokemon/	1604625686605	1604625686778	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	37	END	1604625686182	1604625686803
REQUEST	41		GET /api/v2/pokemon/	1604625686647	1604625686802	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	41	END	1604625686193	1604625686805
USER	Positive: Fetch 10 pokemon characters and validate the schema	48	START	1604625686780	1604625686780
USER	Positive: Fetch 10 pokemon characters and validate the schema	49	START	1604625686846	1604625686846
REQUEST	46		GET /api/v2/pokemon/	1604625686736	1604625686853	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	46	END	1604625686687	1604625686856
REQUEST	45		GET /api/v2/pokemon/	1604625686741	1604625686873	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	45	END	1604625686686	1604625686876
REQUEST	47		GET /api/v2/pokemon/	1604625686753	1604625686883	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	47	END	1604625686689	1604625686886
REQUEST	43		GET /api/v2/pokemon/	1604625686794	1604625686900	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	43	END	1604625686684	1604625686903
REQUEST	21		GET /api/v2/pokemon/	1604625686808	1604625686908	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	21	END	1604625686064	1604625686911
REQUEST	44		GET /api/v2/pokemon/	1604625686806	1604625686914	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	44	END	1604625686685	1604625686916
REQUEST	42		GET /api/v2/pokemon/	1604625686808	1604625686918	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	42	END	1604625686195	1604625686919
REQUEST	48		GET /api/v2/pokemon/	1604625686838	1604625686930	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	48	END	1604625686780	1604625686932
USER	Positive: Fetch 10 pokemon characters and validate the schema	50	START	1604625686948	1604625686948
REQUEST	49		GET /api/v2/pokemon/	1604625686875	1604625686972	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	49	END	1604625686846	1604625686975
USER	Positive: Fetch 10 pokemon characters and validate the schema	51	START	1604625687048	1604625687048
REQUEST	50		GET /api/v2/pokemon/	1604625686974	1604625687073	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	50	END	1604625686948	1604625687075
USER	Positive: Fetch 10 pokemon characters and validate the schema	53	START	1604625687087	1604625687087
USER	Positive: Fetch 10 pokemon characters and validate the schema	52	START	1604625687146	1604625687146
REQUEST	51		GET /api/v2/pokemon/	1604625687077	1604625687183	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	51	END	1604625687048	1604625687185
USER	Positive: Fetch 10 pokemon characters and validate the schema	54	START	1604625687186	1604625687186
REQUEST	53		GET /api/v2/pokemon/	1604625687111	1604625687206	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	53	END	1604625687087	1604625687209
REQUEST	52		GET /api/v2/pokemon/	1604625687171	1604625687269	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	52	END	1604625687146	1604625687271
USER	Positive: Fetch 10 pokemon characters and validate the schema	55	START	1604625687287	1604625687287
REQUEST	54		GET /api/v2/pokemon/	1604625687212	1604625687305	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	54	END	1604625687186	1604625687308
USER	Positive: Fetch 10 pokemon characters and validate the schema	56	START	1604625687387	1604625687387
REQUEST	55		GET /api/v2/pokemon/	1604625687317	1604625687419	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	55	END	1604625687287	1604625687421
USER	Positive: Fetch 10 pokemon characters and validate the schema	57	START	1604625687488	1604625687488
REQUEST	56		GET /api/v2/pokemon/	1604625687410	1604625687514	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	56	END	1604625687387	1604625687516
USER	Positive: Fetch 10 pokemon characters and validate the schema	58	START	1604625687592	1604625687592
REQUEST	57		GET /api/v2/pokemon/	1604625687513	1604625687614	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	57	END	1604625687488	1604625687617
USER	Positive: Fetch 10 pokemon characters and validate the schema	59	START	1604625687689	1604625687689
REQUEST	58		GET /api/v2/pokemon/	1604625687616	1604625687714	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	58	END	1604625687592	1604625687716
USER	Positive: Fetch 10 pokemon characters and validate the schema	60	START	1604625687787	1604625687787
REQUEST	59		GET /api/v2/pokemon/	1604625687709	1604625687818	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	59	END	1604625687689	1604625687819
USER	Positive: Fetch 10 pokemon characters and validate the schema	61	START	1604625687888	1604625687888
REQUEST	60		GET /api/v2/pokemon/	1604625687807	1604625687920	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	60	END	1604625687787	1604625687926
USER	Positive: Fetch 10 pokemon characters and validate the schema	62	START	1604625687988	1604625687988
REQUEST	61		GET /api/v2/pokemon/	1604625687922	1604625688025	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	61	END	1604625687888	1604625688027
USER	Positive: Fetch 10 pokemon characters and validate the schema	63	START	1604625688089	1604625688089
REQUEST	62		GET /api/v2/pokemon/	1604625688006	1604625688101	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	62	END	1604625687988	1604625688103
USER	Positive: Fetch 10 pokemon characters and validate the schema	64	START	1604625688188	1604625688188
REQUEST	63		GET /api/v2/pokemon/	1604625688107	1604625688210	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	63	END	1604625688089	1604625688213
USER	Positive: Fetch 10 pokemon characters and validate the schema	65	START	1604625688289	1604625688289
